,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,inta,ru,66.04,60.13,45.19,82.0,64.0,8.43
1,chokurdakh,ru,70.62,147.9,32.05,92.0,80.0,12.8
2,caluquembe,ao,-13.78,14.68,85.6,26.0,0.0,1.72
3,rikitea,pf,-23.12,-134.97,70.75,100.0,56.0,12.24
5,kapaa,us,22.08,-159.32,76.5,84.0,75.0,3.36
6,punta arenas,cl,-53.16,-70.91,42.8,70.0,75.0,28.86
7,shingu,jp,33.72,135.99,77.0,83.0,75.0,12.75
8,upernavik,gl,72.79,-56.15,23.86,100.0,0.0,14.81
10,ostrovnoy,ru,68.05,39.51,33.49,95.0,0.0,12.24
11,arraial do cabo,br,-22.97,-42.02,71.47,100.0,100.0,12.68
12,westport,nz,-41.75,171.6,49.15,100.0,68.0,2.39
13,lichuan,cn,30.3,108.94,70.75,45.0,68.0,1.05
14,whitefish,us,48.41,-114.33,37.04,88.0,90.0,1.95
15,goya,ar,-29.14,-59.27,57.07,69.0,48.0,9.44
16,bluff,nz,-46.6,168.33,50.77,96.0,56.0,17.49
17,tura,ru,64.27,100.22,37.45,89.0,88.0,2.62
19,east london,za,-33.02,27.91,69.8,56.0,0.0,14.99
20,atuona,pf,-9.8,-139.03,79.48,100.0,32.0,10.56
21,katsuura,jp,33.93,134.5,77.77,83.0,75.0,21.92
22,wattegama,lk,7.35,80.68,77.05,97.0,88.0,3.29
23,vaini,to,-21.2,-175.2,73.4,100.0,75.0,6.64
24,atar,mr,20.52,-13.05,89.6,22.0,0.0,11.41
25,hobart,au,-42.88,147.33,51.8,66.0,20.0,4.7
26,constantine,dz,36.36,6.61,62.6,77.0,40.0,2.24
27,klaksvik,fo,62.23,-6.59,44.6,87.0,75.0,25.28
28,changli,cn,30.54,105.42,70.75,80.0,48.0,4.29
29,poum,nc,-20.23,164.02,71.74,100.0,80.0,6.98
30,mazagao,br,-0.12,-51.29,77.0,100.0,20.0,4.7
31,sambava,mg,-14.27,50.17,75.43,100.0,12.0,15.93
33,bethel,us,60.79,-161.76,41.0,100.0,20.0,8.05
34,demidov,ru,55.27,31.52,45.37,86.0,12.0,9.22
35,armizonskoye,ru,55.95,67.67,69.22,54.0,36.0,13.24
36,avarua,ck,-21.21,-159.78,71.6,73.0,20.0,11.41
37,dunedin,nz,-45.87,170.5,43.48,76.0,0.0,8.99
38,mizdah,ly,31.45,12.98,78.94,26.0,44.0,5.19
39,calama,cl,-22.46,-68.93,41.0,18.0,0.0,149.65
40,tiksi,ru,71.64,128.87,25.48,98.0,80.0,2.95
41,geraldton,au,-28.77,114.6,69.8,60.0,40.0,12.75
42,qandala,so,11.47,49.87,86.95,47.0,0.0,4.18
43,pevek,ru,69.7,170.27,38.08,100.0,76.0,11.01
44,ushuaia,ar,-54.81,-68.31,39.2,69.0,75.0,8.05
45,port blair,in,11.67,92.75,86.14,98.0,64.0,5.53
46,busselton,au,-33.64,115.35,62.56,100.0,36.0,18.5
47,albany,au,-35.02,117.88,60.94,100.0,88.0,5.41
48,nanortalik,gl,60.14,-45.24,35.65,100.0,92.0,26.55
49,castro,cl,-42.48,-73.76,31.42,100.0,0.0,4.63
50,kutum,sd,14.2,24.66,91.36,29.0,0.0,3.74
51,gallipoli,it,40.06,18,67.95,94.0,75.0,3.36
52,nikolskoye,ru,59.7,30.79,42.8,75.0,0.0,13.42
53,cantaura,ve,9.31,-64.36,72.55,91.0,0.0,10.67
54,tiznit,ma,29.7,-9.73,70.75,92.0,68.0,2.51
55,jamestown,sh,-15.94,-5.72,68.32,99.0,92.0,13.24
56,winsum,nl,53.33,6.52,58.39,77.0,0.0,8.05
58,provideniya,ru,64.42,-173.23,46.45,96.0,88.0,26.55
59,karratha,au,-20.74,116.85,93.97,17.0,0.0,12.8
60,hermanus,za,-34.42,19.24,80.47,30.0,0.0,3.29
61,lagoa,pt,37.14,-8.45,77.0,38.0,0.0,10.29
62,khatanga,ru,71.98,102.47,35.02,81.0,32.0,10.67
63,port alfred,za,-33.59,26.89,69.94,73.0,0.0,9.33
64,puerto ayora,ec,-0.74,-90.35,69.13,100.0,24.0,12.8
65,saint-denis,re,-20.87,55.47,77.18,57.0,90.0,11.41
67,qaanaaq,gl,77.48,-69.36,17.11,100.0,12.0,8.99
68,san patricio,mx,19.22,-104.7,76.06,100.0,48.0,2.28
69,cabo san lucas,mx,22.89,-109.91,82.9,100.0,0.0,9.66
71,saint-augustin,ca,45.63,-73.98,38.03,80.0,5.0,6.93
72,kingman,us,35.19,-114.05,68.18,77.0,1.0,3.96
73,souillac,mu,-20.52,57.52,78.8,47.0,20.0,9.17
74,parabel,ru,58.71,81.5,58.15,55.0,76.0,7.99
75,gambela,et,8.25,34.59,78.04,80.0,0.0,3.18
77,astana,kz,51.13,71.43,71.6,18.0,0.0,6.71
79,barrow,us,39.51,-90.4,58.08,96.0,90.0,6.93
80,hambantota,lk,6.12,81.12,80.29,100.0,88.0,8.66
81,rabo de peixe,pt,37.8,-25.58,68.0,72.0,20.0,17.22
82,hienghene,nc,-20.68,164.93,71.83,100.0,76.0,5.75
83,tignere,cm,7.37,12.65,68.59,99.0,80.0,4.18
84,toora-khem,ru,52.47,96.11,39.88,44.0,0.0,2.95
85,kovdor,ru,67.56,30.47,33.76,79.0,48.0,6.42
87,scottsbluff,us,41.87,-103.67,40.1,95.0,1.0,6.93
88,las cruces,us,32.31,-106.78,70.97,54.0,1.0,6.93
89,sao domingos,br,-13.4,-46.32,81.37,44.0,92.0,2.62
90,litovko,ru,49.24,135.18,57.16,63.0,0.0,4.41
91,rapar,in,23.57,70.65,103.51,27.0,0.0,3.4
92,lebu,cl,-37.62,-73.65,53.38,96.0,76.0,7.65
93,san cristobal,ec,-1.02,-79.44,58.42,100.0,64.0,1.16
94,bentong,my,3.52,101.91,89.6,62.0,75.0,10.29
95,nandu,cn,31.44,119.33,77.0,41.0,0.0,8.95
97,galle,lk,6.04,80.22,79.57,100.0,92.0,6.64
98,coracora,pe,-15.02,-73.78,37.54,70.0,88.0,2.28
99,pontianak,id,-0.02,109.34,87.8,62.0,40.0,4.18
100,tuktoyaktuk,ca,69.44,-133.03,23.41,100.0,24.0,5.41
101,uruguaiana,br,-29.77,-57.08,55.4,82.0,0.0,13.87
102,la ronge,ca,55.1,-105.3,28.4,74.0,75.0,5.53
103,anloga,gh,5.79,0.9,84.2,74.0,40.0,8.05
104,santa cruz,cr,10.26,-85.58,73.63,99.0,92.0,12.46
105,victoria,sc,-4.62,55.45,82.4,65.0,40.0,17.22
106,puerto escondido,mx,15.86,-97.07,83.44,100.0,8.0,11.68
107,boueni,yt,-12.9,45.08,86.0,62.0,0.0,11.41
108,afua,br,-0.16,-50.39,81.1,94.0,12.0,11.45
109,new norfolk,au,-42.78,147.06,51.8,66.0,20.0,4.7
110,korla,cn,41.76,86.15,69.22,30.0,0.0,5.41
111,hilo,us,19.71,-155.08,63.55,90.0,40.0,3.36
113,sfantu gheorghe,ro,44.65,26.83,60.8,41.0,0.0,10.29
114,faanui,pf,-16.48,-151.75,78.67,100.0,0.0,13.69
115,cururupu,br,-1.82,-44.87,76.24,93.0,0.0,5.64
116,hasaki,jp,35.73,140.83,69.15,94.0,75.0,11.41
117,taft,us,27.98,-97.4,76.51,88.0,1.0,3.36
118,basco,ph,20.45,121.97,81.37,100.0,0.0,17.83
119,kaitangata,nz,-46.28,169.85,45.28,76.0,0.0,14.58
120,padang,id,-0.92,100.36,81.37,100.0,48.0,4.74
121,thompson,ca,55.74,-97.86,17.6,85.0,40.0,2.62
122,kodiak,us,39.95,-94.76,53.06,100.0,90.0,4.7
123,norman wells,ca,65.28,-126.83,12.2,92.0,75.0,2.24
124,saint-philippe,re,-21.36,55.77,76.89,47.0,90.0,18.34
127,kadoma,zw,-18.34,29.91,78.85,33.0,0.0,8.77
128,ancud,cl,-41.87,-73.83,32.59,81.0,0.0,3.62
129,sitka,us,37.17,-99.65,51.22,95.0,0.0,4.63
130,vila velha,br,-3.71,-38.6,80.6,74.0,75.0,12.75
131,torbay,ca,47.66,-52.73,52.27,93.0,90.0,23.04
132,dikson,ru,73.51,80.55,39.34,97.0,88.0,19.17
134,ormara,pk,25.21,64.64,85.33,74.0,0.0,6.53
135,port macquarie,au,-31.43,152.91,60.8,100.0,75.0,12.75
137,najran,sa,17.54,44.22,93.2,10.0,0.0,9.17
139,olinda,br,-22.82,-43.41,71.69,94.0,90.0,13.87
140,luangwa,zm,-12.88,28.25,84.52,36.0,12.0,12.24
